Stock,52 Week High,Date of High,52 Week Low,Date of Low,Current Close,Difference (High - Close),Status
JMFINANCIL.NS,152.4,2024-09-30,67.238,2024-06-04,150.69,-1.71,Wait
SUMICHEM.NS,628.3,2024-09-10,335.501,2024-03-14,553.0,-75.3,Wait
HUDCO.NS,350.011,2024-07-12,69.205,2023-10-25,234.8,-115.211,Wait
SWSOLAR.NS,828.0,2024-05-21,253.0,2023-10-19,632.8,-195.2,Wait
CUMMINSIND.NS,4149.925,2024-06-25,1639.013,2023-11-01,3802.6,-347.324,Wait
SOLARINDS.NS,13298.0,2024-07-11,4776.51,2023-10-03,11585.05,-1712.95,Wait
DOMS.NS,2975.0,2024-09-17,1224.51,2023-12-21,2691.1,-283.9,Wait
LUPIN.NS,2312.0,2024-09-05,1118.098,2023-10-31,2200.95,-111.05,Wait
TITAN.NS,3874.273,2024-01-30,3045.684,2024-06-04,3844.85,-29.423,Wait
MRF.NS,151230.967,2024-02-23,106249.587,2023-10-09,140567.344,-10663.623,Wait
CENTURYTEX.NS,2936.45,2024-09-16,1044.057,2023-10-25,2740.25,-196.2,Wait
UPL.NS,633.755,2023-10-17,446.993,2024-03-14,610.9,-22.855,Wait
GLS.NS,1335.1,2024-09-16,594.282,2023-10-04,1056.0,-279.1,Wait
ALOKINDS.NS,39.05,2024-01-09,16.1,2023-10-26,25.05,-14.0,Wait
OFSS.NS,12619.0,2024-09-17,3750.676,2023-10-26,11421.0,-1198.0,Wait
RATNAMANI.NS,3978.5,2024-09-13,2515.15,2023-10-09,3664.95,-313.55,Wait
HCLTECH.NS,1828.55,2024-09-27,1163.287,2023-10-13,1816.55,-12.0,Wait
HBLPOWER.NS,723.405,2024-08-26,254.191,2023-10-26,605.5,-117.905,Wait
EICHERMOT.NS,5105.0,2024-09-27,3239.111,2023-11-01,5076.0,-29.0,Wait
PNB.NS,141.232,2024-04-30,66.564,2023-10-26,108.53,-32.702,Wait
HINDALCO.NS,764.45,2024-09-30,446.192,2023-10-26,760.35,-4.1,Wait
CHALET.NS,958.0,2024-03-28,535.1,2023-10-25,885.8,-72.2,Wait
GRASIM.NS,2866.734,2024-07-26,1813.84,2023-10-30,2792.7,-74.034,Wait
TVSMOTOR.NS,2958.0,2024-09-27,1483.584,2023-10-05,2863.0,-95.0,Wait
