SYMBOL,SERIES,Adjusted 52_Week_High,52_Week_High_Date,Adjusted 52_Week_Low,52_Week_Low_Date,Close_Price,Volume,Difference,Percentage_Difference,Status
ACC,EQ,2407.1,08-JAN-2024,   1592.35,29-MAR-2023,2513.45,468506.0,-106.35,-4.418,START LOOKING
AHL,EQ,355.5,15-JAN-2024,    201.95,16-MAR-2023,384.0,142239.0,-28.5,-8.017,START LOOKING
AMRUTANJAN,EQ,775.45,30-JUN-2023,    554.05,31-MAR-2023,816.05,206858.0,-40.6,-5.236,START LOOKING
ACC,EQ,2407.1,08-JAN-2024,   1592.35,29-MAR-2023,2513.45,468506.0,-106.35,-4.418,START LOOKING
AHL,EQ,355.5,15-JAN-2024,    201.95,16-MAR-2023,384.0,142239.0,-28.5,-8.017,START LOOKING
AMRUTANJAN,EQ,775.45,30-JUN-2023,    554.05,31-MAR-2023,816.05,206858.0,-40.6,-5.236,START LOOKING
